0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:44:50 +0900] "GET /Ex_1223_Borad/img/btn_prev.gif HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:44:50 +0900] "GET /Ex_1223_Borad/img/btn_reg.gif HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:44:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:44:51 +0900] "GET /Ex_1223_Borad/view.do?idx=43&page= HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:44:53 +0900] "POST /Ex_1223_Borad/board_reply.jsp HTTP/1.1" 200 1465
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:44:57 +0900] "GET /Ex_1223_Borad/list.do HTTP/1.1" 200 3806
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:45:08 +0900] "GET /Ex_1223_Borad/board_write.jsp HTTP/1.1" 200 1368
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:45:35 +0900] "GET /Ex_1223_Borad/board_write.jsp HTTP/1.1" 200 1371
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:45:35 +0900] "GET /Ex_1223_Borad/img/btn_reg.gif HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:45:35 +0900] "GET /Ex_1223_Borad/img/btn_back.gif HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:45:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:14 +0900] "GET /Ex_1223_Borad/board_write.jsp HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:15 +0900] "GET /Ex_1223_Borad/img/btn_reg.gif HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:15 +0900] "GET /Ex_1223_Borad/img/btn_back.gif HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:15 +0900] "GET /Ex_1223_Borad/board_write.jsp HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:15 +0900] "GET /Ex_1223_Borad/img/btn_back.gif HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:15 +0900] "GET /Ex_1223_Borad/img/btn_reg.gif HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:16 +0900] "GET /Ex_1223_Borad/board_write.jsp HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:16 +0900] "GET /Ex_1223_Borad/img/btn_reg.gif HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:16 +0900] "GET /Ex_1223_Borad/img/btn_back.gif HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
